Authoritative source: outputs/paper/diagnostics/d6_b0_update_compatibility_recovery1/
Recovery replay parity: 9/9 PASS
Gate1 exact replay: PASS
Gate2 MSRC update opposition: FAIL (0/3 seeds)
Gate3 MSRC retention: FAIL (0/3 seeds)
Gate4 integrity/no-GT/runtime: PASS
FINAL: FAIL-CLOSED

dataset | seed | combined_median_cosine | encoder_median_cosine | cluster_median_cosine | combined_conflict_fraction | combined_median_retention
--- | ---: | ---: | ---: | ---: | ---: | ---:
Caltech-6V | 20 | -0.802065120222849 | -0.802182599162975 | -0.450072208270275 | 1 | 0.442287995361751
Caltech-6V | 30 | -0.805878179356842 | -0.80600032912127 | -0.458473879403275 | 1 | 0.427851303984451
Caltech-6V | 50 | -0.786658191703615 | -0.786792578060701 | -0.408917247520459 | 1 | 0.484823649627344
MSRC-v1 | 20 | -0.846581750537377 | -0.846639141122274 | 0.0962454567183826 | 1 | 0.32534561520091
MSRC-v1 | 30 | -0.857890794258202 | -0.857957986322845 | 0.241389169562778 | 1 | 0.306258072729106
MSRC-v1 | 50 | -0.861110432851407 | -0.861170417944312 | 0.170425009487087 | 1 | 0.3078797945946
BDGP | 20 | -0.851210462151057 | -0.852213974311415 | 0.866390329472895 | 1 | 0.204517118635902
BDGP | 30 | -0.8645406770838 | -0.865283744446834 | 0.825859929411353 | 1 | 0.189380872896804
BDGP | 50 | -0.884107661381767 | -0.884910055616979 | 0.821853616740667 | 1 | 0.169192492366559
