Authoritative evidence: outputs/paper/diagnostics/d7_a0_granularity_adequacy/
All y_gen generator-mean argmax checks: 9/9 PASS
Gate1 integrity: PASS
Gate2 MSRC granularity mismatch: FAIL
Gate3 MSRC stability: FAIL
Gate4 cross-dataset heterogeneity: FAIL
FINAL: FAIL-CLOSED
Modal preference: Caltech-6V=native; MSRC-v1=native; BDGP=native.

dataset | seed | granularity | M_strong | M_singleton | M_conflict | M_orphan
--- | ---: | ---: | ---: | ---: | ---: | ---:
Caltech-6V | 20 | coarse (4) | 0.20902409375511805 | 0.040852002216625299 | 0.75012390402825668 | 0
Caltech-6V | 20 | native (7) | 0.67440472555346065 | 0.10904137320559625 | 0.20745229998353973 | 0.0091016012574033234
Caltech-6V | 20 | fine (14) | 0.26482769968211317 | 0.49764649762559121 | 0.076484926216925209 | 0.16104087647537044
Caltech-6V | 30 | coarse (4) | 0.21705394752902515 | 0.03432030091737915 | 0.74862575155359568 | 0
Caltech-6V | 30 | native (7) | 0.64735277983763728 | 0.12569212761987175 | 0.22458369734412689 | 0.0023713951983640852
Caltech-6V | 30 | fine (14) | 0.27094415181532322 | 0.47186290034805722 | 0.084948354423961966 | 0.17224459341265758
Caltech-6V | 50 | coarse (4) | 0.22755889429879317 | 0.047352907136252405 | 0.72508819856495443 | 0
Caltech-6V | 50 | native (7) | 0.70538779709201627 | 0.11527173706082973 | 0.17557204226660436 | 0.0037684235805496014
Caltech-6V | 50 | fine (14) | 0.32259044503718126 | 0.48311074271180621 | 0.050424898513834908 | 0.14387391373717762
MSRC-v1 | 20 | coarse (4) | 0.078612329553374521 | 0.092858397227683437 | 0.8266230040297069 | 0.001906269189235175
MSRC-v1 | 20 | native (7) | 0.1787427247796311 | 0.14391347775111082 | 0.60094317991365021 | 0.076400617555607828
MSRC-v1 | 20 | fine (14) | 0.12292717176729422 | 0.3675211294862647 | 0.24336281181203726 | 0.26618888693440385
MSRC-v1 | 30 | coarse (4) | 0.10766600884412295 | 0.052243743130808644 | 0.80870414920429456 | 0.031386098820773874
MSRC-v1 | 30 | native (7) | 0.17354611352396615 | 0.18564875938862627 | 0.5524161414247456 | 0.08838898566266204
MSRC-v1 | 30 | fine (14) | 0.1621419065262116 | 0.34444416194242983 | 0.21992141686169239 | 0.27349251466966618
MSRC-v1 | 50 | coarse (4) | 0.082130953237313675 | 0.080021776279346341 | 0.83111354592036157 | 0.006733724562978406
MSRC-v1 | 50 | native (7) | 0.11055227535477652 | 0.18890339368318665 | 0.60960718143745873 | 0.090937149524578126
MSRC-v1 | 50 | fine (14) | 0.14916641470966924 | 0.34886683015558523 | 0.22865732860891994 | 0.27330942652582563
BDGP | 20 | coarse (3) | 0.31188946095857278 | 0 | 0.68811053904142727 | 0
BDGP | 20 | native (5) | 1 | 0 | 0 | 0
BDGP | 20 | fine (10) | 0.72254819007307258 | 0.20174741133313306 | 0 | 0.075704398593794409
BDGP | 30 | coarse (3) | 0.42085628223993621 | 0 | 0.57914371776006379 | 0
BDGP | 30 | native (5) | 1 | 0 | 0 | 0
BDGP | 30 | fine (10) | 0.99044582730961117 | 0 | 0 | 0.0095541726903887805
BDGP | 50 | coarse (3) | 0.42112359866813798 | 0 | 0.57887640133186202 | 0
BDGP | 50 | native (5) | 1 | 0 | 0 | 0
BDGP | 50 | fine (10) | 0.87738775843507633 | 0.10972979686496261 | 0 | 0.012882444699961103
