Authoritative evidence: outputs/paper/diagnostics/d7_b0_relation_ambiguity/
All cells: class consensus=1.0; normalized entropy=0.0; D_global_balanced=0.0; D_global_raw=0.0.
Gate1: PASS
Gate2: FAIL
Gate3: FAIL
Gate4: PASS (descriptive only)
FINAL: FAIL-CLOSED

dataset | seed | consensus mean/median/p25/p75 | entropy mean/median/p25/p75 | D_balanced | D_raw | mapping exact | mapping entry | margin min/median/mean/max
--- | ---: | --- | --- | ---: | ---: | ---: | ---: | ---
Caltech-6V | 20 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 1 | 1 | 0.61702127659574468/0.86046511627906985/0.84182114044805789/0.94999999999999996
Caltech-6V | 30 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 1 | 1 | 0.49999999999999994/0.85000000000000009/0.790739828665741/0.89473684210526305
Caltech-6V | 50 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 1 | 1 | 0.52830188679245293/0.72727272727272729/0.77559868246119745/1
MSRC-v1 | 20 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 0.42857142857142855 | 0.81632653061224492 | -0.33333333333333331/0.23076923076923078/0.12660827223427545/0.44444444444444448
MSRC-v1 | 30 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 0.7142857142857143 | 0.91836734693877553 | 0/0.12359550561797751/0.18185850089307004/0.49999999999999994
MSRC-v1 | 50 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 0.5714285714285714 | 0.8571428571428571 | 0/0.10112359550561803/0.17015004791890823/0.41666666666666663
BDGP | 20 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 1 | 1 | 1/1/1/1
BDGP | 30 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 1 | 1 | 1/1/1/1
BDGP | 50 | 1/1/1/1 | 0/-0/-0/-0 | 0 | 0 | 1 | 1 | 1/1/1/1
